,keep as it is,Same as attendeefk,,Just write the name I will convert to id,keep it as it is,,optional,optional,keep it as it is,keep it as it is,keep it as it is,"1 = done, -1 cancelled",
date_created,date_updated,created_by,candidatefk,attendeefk,type,date_meeting,location,description,date_reminder1,date_reminder2,reminder_update,meeting_done,date_met
2007/03/13 10:34,NULL,137,132823,99,1,2007/03/13 10:34,,Phone assessed,NULL,NULL,NULL,1,2007/03/13 10:34
2007/01/31 17:45,NULL,122,130081,276,1,2007/01/31 17:45,,Assessed in person,NULL,NULL,NULL,1,2007/01/31 17:45
2007/05/10 17:28,NULL,122,129770,276,1,2007/05/10 17:28,,Assessed in person,NULL,NULL,NULL,1,2007/05/10 17:28
2007/04/24 21:41,NULL,371,129741,276,1,2007/04/24 21:41,,Phone assessed,NULL,NULL,NULL,1,2007/04/24 21:41
2007/01/25 16:07,NULL,276,129731,276,1,2007/01/25 16:07,,Assessed in person,NULL,NULL,NULL,1,2007/01/25 16:07
2007/04/23 22:32,NULL,333,129473,333,1,2007/04/23 22:32,,Assessed in person,NULL,NULL,NULL,1,2007/04/23 22:32
2007/02/02 16:59,NULL,99,128775,99,1,2007/02/02 16:59,,Assessed in person,NULL,NULL,NULL,1,2007/02/02 16:59
2007/02/05 20:59,NULL,295,128089,295,1,2007/02/05 20:59,,Assessed in person,NULL,NULL,NULL,1,2007/02/05 20:59
2007/02/06 19:35,NULL,333,128060,333,1,2007/02/06 19:35,,Assessed in person,NULL,NULL,NULL,1,2007/02/06 19:35
2007/01/11 11:27,NULL,354,128020,354,1,2007/01/11 11:27,,Assessed in person,NULL,NULL,NULL,1,2007/01/11 11:27
2007/03/13 19:00,NULL,160,127246,160,1,2007/03/13 19:00,,Assessed in person,NULL,NULL,NULL,1,2007/03/13 19:00
2007/07/26 15:18,NULL,7,126501,7,1,2007/07/26 15:18,,Assessed in person,NULL,NULL,NULL,1,2007/07/26 15:18
2010/03/24 15:18,NULL,354,126143,354,1,2010/03/24 15:18,,Assessed in person,NULL,NULL,NULL,1,2010/03/24 15:18
2007/11/11 21:08,NULL,333,125829,333,1,2007/11/11 21:08,,Assessed in person,NULL,NULL,NULL,1,2007/11/11 21:08
2007/01/22 18:25,NULL,333,124758,333,1,2007/01/22 18:25,,Assessed in person,NULL,NULL,NULL,1,2007/01/22 18:25
2008/07/10 14:09,NULL,333,124293,333,1,2008/07/10 14:09,,Assessed in person,NULL,NULL,NULL,1,2008/07/10 14:09
2006/12/08 14:45,NULL,160,124038,160,1,2006/12/08 14:45,,Assessed in person,NULL,NULL,NULL,1,2006/12/08 14:45
2006/12/13 14:38,NULL,160,123983,160,1,2006/12/13 14:38,,Assessed in person,NULL,NULL,NULL,1,2006/12/13 14:38
2006/12/12 19:45,NULL,354,123730,354,1,2006/12/12 19:45,,Assessed in person,NULL,NULL,NULL,1,2006/12/12 19:45
2007/04/10 15:33,NULL,295,122298,295,1,2007/04/10 15:33,,Assessed in person,NULL,NULL,NULL,1,2007/04/10 15:33
2006/11/24 17:32,NULL,186,121929,186,1,2006/11/24 17:32,,Assessed in person,NULL,NULL,NULL,1,2006/11/24 17:32
2008/04/03 12:25,NULL,295,121704,295,1,2008/04/03 12:25,,Assessed in person,NULL,NULL,NULL,1,2008/04/03 12:25
2007/01/22 16:14,NULL,276,121288,276,1,2007/01/22 16:14,,Assessed in person,NULL,NULL,NULL,1,2007/01/22 16:14
2006/12/28 15:34,NULL,7,121090,7,1,2006/12/28 15:34,,Assessed in person,NULL,NULL,NULL,1,2006/12/28 15:34
2006/11/13 16:23,NULL,196,121086,196,1,2006/11/13 16:23,,Assessed in person,NULL,NULL,NULL,1,2006/11/13 16:23
2006/12/05 13:11,NULL,183,120954,183,1,2006/12/05 13:11,,Assessed in person,NULL,NULL,NULL,1,2006/12/05 13:11
2006/11/10 18:13,NULL,276,120913,276,1,2006/11/10 18:13,,Assessed in person,NULL,NULL,NULL,1,2006/11/10 18:13
2007/01/25 11:15,NULL,99,120912,99,1,2007/01/25 11:15,,Assessed in person,NULL,NULL,NULL,1,2007/01/25 11:15
2006/11/24 13:59,NULL,183,120731,183,1,2006/11/24 13:59,,Assessed in person,NULL,NULL,NULL,1,2006/11/24 13:59
2007/09/13 16:03,NULL,188,120588,188,1,2007/09/13 16:03,,Assessed in person,NULL,NULL,NULL,1,2007/09/13 16:03
2006/12/20 12:46,NULL,89,120487,89,1,2006/12/20 12:46,,Assessed in person,NULL,NULL,NULL,1,2006/12/20 12:46
2007/11/29 20:46,NULL,276,120356,276,1,2007/11/29 20:46,,Assessed in person,NULL,NULL,NULL,1,2007/11/29 20:46
2006/12/07 16:45,NULL,196,120265,196,1,2006/12/07 16:45,,Assessed in person,NULL,NULL,NULL,1,2006/12/07 16:45
2006/11/07 21:35,NULL,276,120142,276,1,2006/11/07 21:35,,Assessed in person,NULL,NULL,NULL,1,2006/11/07 21:35
2006/11/22 16:56,NULL,333,120010,333,1,2006/11/22 16:56,,Assessed in person,NULL,NULL,NULL,1,2006/11/22 16:56
2009/04/14 13:44,NULL,286,119150,286,1,2009/04/14 13:44,,Phone assessed,NULL,NULL,NULL,1,2009/04/14 13:44
2006/12/20 20:00,NULL,196,118853,196,1,2006/12/20 20:00,,Assessed in person,NULL,NULL,NULL,1,2006/12/20 20:00
2006/12/05 19:53,NULL,333,118247,333,1,2006/12/05 19:53,,Assessed in person,NULL,NULL,NULL,1,2006/12/05 19:53
2007/04/17 20:36,NULL,114,117831,114,1,2007/04/17 20:36,,Assessed in person,NULL,NULL,NULL,1,2007/04/17 20:36
2006/12/04 17:00,NULL,196,117753,196,1,2006/12/04 17:00,,Assessed in person,NULL,NULL,NULL,1,2006/12/04 17:00
